"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"PinHeader_1x01_P1.00mm_Vertical";1;"Conn_01x01_Female";;;
2;"U2";"MSOP-8_3x3mm_P0.65mm";1;"ADG902BRMZ";;;
3;"C3,C4,C5";"C_0603_1608Metric";3;"C";;;
4;"J1";"SMA_Amphenol_132289_EdgeMount";1;"Conn_Coaxial";;;
5;"P1";"PinHeader_1x02_P2.54mm_Vertical";1;"INPUT POWER";;;
6;"P11";"PinSocket_1x02_P2.54mm_Vertical";1;"Header 2";;;
7;"R11";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"~";;;
8;"R12";"R_0402_1005Metric";1;"0R";;;
9;"U1";"TSOT-23-6";1;"LTC6906";;;
10;"C6";"C_0402_1005Metric";1;"0.1uF";;;
11;"C7";"C_0603_1608Metric";1;"1uF";;;
